bidding requirement,forced_permutations,number_of_bids_until_prices_update,total_bids_until_closure,fallback_probability,total bids,total excess papers,total social cost,cost matrix used,quota matrix used,input json file used
2,0,1,61,30,48.0,396.12874025403096,?,.//output//cost_matrix_sep.json,.//output//quota_matrix_sep.json,sim_input.json
2,0,1,61,30,48.0,394.50169271540926,?,.//output//cost_matrix_sep.json,.//output//quota_matrix_sep.json,sim_input.json
2,0,1,61,30,48.0,396.12874025403096,?,.//output//cost_matrix_sep.json,.//output//quota_matrix_sep.json,sim_input.json
2,0,1,61,50,49.0,395.9402960473152,?,.//output//cost_matrix_sep.json,.//output//quota_matrix_sep.json,sim_input.json
2,0,1,61,50,48.0,395.907827834106,?,.//output//cost_matrix_sep.json,.//output//quota_matrix_sep.json,sim_input.json
2,0,1,61,50,48.0,397.7428515057811,?,.//output//cost_matrix_sep.json,.//output//quota_matrix_sep.json,sim_input.json
5,0,1,61,30,145.0,198.30811481342124,?,.//output//cost_matrix_sep.json,.//output//quota_matrix_sep.json,sim_input.json
5,0,1,61,30,142.0,194.33676554937088,?,.//output//cost_matrix_sep.json,.//output//quota_matrix_sep.json,sim_input.json
5,0,1,61,30,143.0,203.0538738842371,?,.//output//cost_matrix_sep.json,.//output//quota_matrix_sep.json,sim_input.json
5,0,1,61,50,124.0,234.5348781055424,?,.//output//cost_matrix_sep.json,.//output//quota_matrix_sep.json,sim_input.json
5,0,1,61,50,134.0,221.32925009461985,?,.//output//cost_matrix_sep.json,.//output//quota_matrix_sep.json,sim_input.json
5,0,1,61,50,138.0,205.118968398196,?,.//output//cost_matrix_sep.json,.//output//quota_matrix_sep.json,sim_input.json
