bidding requirement,forced_permutations,number_of_bids_until_prices_update,total_bids_until_closure,fallback_probability,total bids,total excess papers,total social cost,cost matrix used,quota matrix used,input json file used
3,2,1,0,10,80.0,311.83996596989005,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,2,1,0,10,80.0,311.83996596989005,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,2,1,0,10,79.0,313.6703035186116,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,2,1,0,30,79.0,311.70073625522,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,2,1,0,30,77.0,319.9535412855113,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,2,1,0,30,77.0,318.10725062690045,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,2,1,0,50,73.0,330.2345830746455,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,2,1,0,50,77.0,323.5768892772147,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,2,1,0,50,75.0,325.83629687372456,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,2,1,0,70,73.0,331.3340658757014,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,2,1,0,70,75.0,325.1016598527755,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,2,1,0,70,73.0,329.8741622452416,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,5,1,0,10,84.0,300.6599187986829,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,5,1,0,10,79.0,311.70073625522,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,5,1,0,10,78.0,314.9077318194161,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,5,1,0,30,81.0,310.06661143546336,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,5,1,0,30,77.0,318.99205328170893,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,5,1,0,30,82.0,305.56310563000596,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,5,1,0,50,77.0,320.5908933835389,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,5,1,0,50,77.0,319.93708313516316,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,5,1,0,50,75.0,325.30187430986206,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,5,1,0,70,75.0,323.47412819421385,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,5,1,0,70,74.0,328.1208665676211,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
3,5,1,0,70,75.0,325.775813865368,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,10,162.0,190.32552268666873,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,10,163.0,189.49936619865812,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,10,161.0,194.95704892901892,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,30,151.0,196.82860931382285,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,30,147.0,216.37005725159025,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,30,144.0,217.03263663160737,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,50,147.0,206.40729913378772,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,50,146.0,196.1971163668939,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,50,140.0,217.57358582189096,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,70,132.0,234.78916549516774,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,70,146.0,207.12848643561458,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,70,144.0,204.66626387247652,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,10,175.0,169.16964490519717,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,10,196.0,154.38955720053156,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,10,184.0,172.23751118452637,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,30,183.0,171.85295897441657,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,30,158.0,188.56927669787092,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,30,164.0,186.23701301470712,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,50,140.0,209.00725619611993,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,50,155.0,207.53820993365065,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,50,163.0,191.26308049757213,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,70,138.0,218.09211472840624,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,70,134.0,228.8176172065649,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,70,133.0,229.4030137601938,?,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
