bidding requirement,forced permutations,number of bids until prices update,total bids until closure,fallback probability,price weight,matching algorithm,sample index,total bids,total_excess_papers,gini_paper_bids,hoover_paper_bids,average_cost_per_step_2_paper,average_bidder_cost,gini_bidder_cost,hoover_bidder_cost,average_fallback_bidder_cost,gini_fallback_bidder_cost,hoover_fallback_bidder_cost,average_main_bidder_cost,gini_main_bidder_cost,hoover_main_bidder_cost,cost matrix used,quota matrix used,input json file used
3.8,0,5,290,0,2,FractionalAllocation,0,1103.0,-176.0,0.3622300750020605,0.2575156597708728,1.021887306279606,5.7942626516236695,0.2868515175584881,0.2028669644988469,nan,nan,nan,5.7942626516236695,0.2868515175584881,0.2028669644988469,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,0,2,FractionalAllocation,1,1075.0,-176.0,0.3729862579281184,0.2624101479915434,0.9940813292411618,5.732864609863445,0.30244710932261737,0.21263669583085673,nan,nan,nan,5.732864609863445,0.30244710932261737,0.21263669583085673,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,0,2,FractionalAllocation,2,1099.0,-176.0,0.36266957564728264,0.2590112912565142,1.0233063508265847,5.812014140171147,0.279869814130972,0.1970167295855027,nan,nan,nan,5.812014140171147,0.279869814130972,0.1970167295855027,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,0,2,FractionalAllocation,3,1047.0,-176.0,0.3778924633150994,0.2670020404619259,0.9916064197080818,6.00405427324711,0.28803513480057896,0.2064731778207869,nan,nan,nan,6.00405427324711,0.28803513480057896,0.2064731778207869,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,0,2,FractionalAllocation,4,1055.0,-176.0,0.3633078414476519,0.25731904351572593,0.9867531237991195,5.765212294618538,0.2962343172584626,0.21168479428544457,nan,nan,nan,5.765212294618538,0.2962343172584626,0.21168479428544457,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,10,2,FractionalAllocation,0,1040.0,-176.0,0.3654938811188811,0.25664335664335663,0.9910364949635664,5.842249002683267,0.2942894876358711,0.21296434082210552,5.964832916213946,0.31617107368736047,0.24866772630334008,5.822791238630778,0.2884792305221254,0.20713051956343254,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,10,2,FractionalAllocation,1,1011.0,-176.0,0.37614085963492494,0.2675119143961874,0.9485732903568497,5.788602908974665,0.27760705158345966,0.20414323833513248,6.578096769033918,0.2016895723584869,0.15244371842327475,5.677580334903833,0.2868888441965586,0.2126189002668551,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,10,2,FractionalAllocation,2,1065.0,-176.0,0.37038518992744346,0.26048868971404177,0.9744319707862203,5.802200548160225,0.30009049393099624,0.21782176426608618,7.406820764946577,0.19879895124359553,0.14166857806284336,5.696787541218056,0.3044965002618571,0.22050618009923875,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,10,2,FractionalAllocation,3,1089.0,-176.0,0.3696103597963102,0.2621097337006428,1.009707258339168,5.741701427948992,0.2713159456769605,0.189990271798657,6.701297149607525,0.266189643338508,0.19432704393007086,5.598139863291415,0.266826571586277,0.1860035390082982,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,10,2,FractionalAllocation,4,1014.0,-176.0,0.37655773713466023,0.26734803657880585,0.9686103586043454,6.004143689663577,0.2919667978192461,0.21253937007471566,7.663371019395699,0.16850651500396302,0.1273380463179829,5.88214168012445,0.2975855423623309,0.21623084721299446,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,25,2,FractionalAllocation,0,1005.0,-176.0,0.3818012211668928,0.27124604251469925,0.9665765306162758,6.0591434379960525,0.26161944308681934,0.18836339959724105,6.9719983068464835,0.1762249329692193,0.11859719359605034,5.612030849171352,0.29449911077206686,0.21354400487455724,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,25,2,FractionalAllocation,1,1026.0,-176.0,0.36570751373382954,0.2580963140173666,0.9579292338530431,5.751597263070579,0.2861505410458589,0.20266592768386404,6.842639724276171,0.2414746182040255,0.18690550113172127,5.420387944490311,0.28958800575171445,0.20255252073731844,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
